z_m,d_mm
0.0,0.8440570053645667
0.01,0.8441235517886599
0.02,0.8453771181146505
0.03,0.8450994892294594
0.04,0.8451179045189368
0.05,0.8434923279849855
0.06,0.8464019183579347
0.07,0.8441189655073378
0.08,0.8428586175316455
0.09,0.8438057405746051
0.1,0.8423582278590276
0.11,0.8438804661956189
0.12,0.8416787475557855
0.13,0.8424391160079004
0.14,0.8445325901841259
0.15,0.8433013044470054
0.16,0.8423633875350605
0.17,0.8404720727319166
0.18,0.8395312941460688
0.19,0.8395390364110038
0.2,0.8407750659963577
0.21,0.8406237840346635
0.22,0.8392841240368593
0.23,0.8398401087532688
0.24,0.8364492096137135
0.25,0.8391243833943305
0.26,0.8339914375758949
0.27,0.8351997603696959
0.28,0.8353946476932237
0.29,0.8351062214561931
0.3,0.8356145149995885
0.31,0.8397184194181864
0.32,0.834324218150281
0.33,0.8372001876580111
0.34,0.8331169343651476
0.35000000000000003,0.8358471837215155
0.36,0.8326625729786782
0.37,0.8347116652810133
0.38,0.833537169130341
0.39,0.8340641268896981
0.4,0.8327708660738512
0.41000000000000003,0.8304141407618113
0.42,0.8311375978575772
0.43,0.8324039727655171
0.44,0.8334351059624238
0.45,0.8314756363317555
0.46,0.8317156245843932
0.47000000000000003,0.8332451951542894
0.48,0.8309059892930344
0.49,0.8324810334239977
0.5,0.8323329331758191
0.51,0.83354383004312
0.52,0.8299636573886107
0.53,0.832230716302286
0.54,0.8352244422774868
0.55,0.8306133825510309
0.56,0.8330075018341384
0.5700000000000001,0.8332178397060129
0.58,0.8327719055391618
0.59,0.8331270217474543
0.6,0.8331838819326556
0.61,0.8376940509051629
0.62,0.8354671335297416
0.63,0.8365146847022931
0.64,0.8351549853322492
0.65,0.8342117591976329
0.66,0.8382884435803467
0.67,0.838519777752876
0.68,0.8364304561953873
0.6900000000000001,0.8365303637952123
0.7000000000000001,0.8409730230120751
0.71,0.8400785589089285
0.72,0.8394461274650142
0.73,0.8411150725032097
0.74,0.843163229346147
0.75,0.8423005925113795
0.76,0.8431269852826273
0.77,0.8431101812457611
0.78,0.8421734113464014
0.79,0.8416629402597946
0.8,0.8459280487361004
0.81,0.8400869466656036
0.8200000000000001,0.8429707307795646
0.8300000000000001,0.8447173736320881
0.84,0.8436400548503316
0.85,0.8448139901166279
0.86,0.8452565900277006
0.87,0.8458453762962892
0.88,0.8467232548014293
0.89,0.848070480044993
0.9,0.8491781427700394
0.91,0.8472490967778463
0.92,0.8468609059454031
0.93,0.8470919593519175
0.9400000000000001,0.845953288266764
0.9500000000000001,0.8461226375858915
0.96,0.8469684057572503
0.97,0.8479123326340084
0.98,0.8484012012239183
0.99,0.8458929030287493
1.0,0.8474025894661955
1.01,0.8470494360741359
1.02,0.8493482024671072
1.03,0.8478133203756979
1.04,0.8476776361462777
1.05,0.8441388057450221
1.06,0.8439858504046107
1.07,0.84527649812295
1.08,0.8458775124737109
1.09,0.842512718941058
1.1,0.844881902701451
1.11,0.8445794966450358
1.12,0.8443390883960328
1.1300000000000001,0.8454048498724719
1.1400000000000001,0.8405829322098275
1.1500000000000001,0.8407289133453895
1.16,0.8426104514944934
1.17,0.8406831985907636
1.18,0.8416066906497001
1.19,0.8415267710704881
1.2,0.837279678899201
1.21,0.8422045852693719
1.22,0.8414531727286306
1.23,0.8362805037835402
1.24,0.8372071441950736
1.25,0.8388781428288388
1.26,0.8364504920638389
1.27,0.8373001017543251
1.28,0.8348225973084169
1.29,0.8376144507083759
1.3,0.8333241420826958
1.31,0.8346089542603751
1.32,0.8347651402434861
1.33,0.8319641207648862
1.34,0.8340503464914804
1.35,0.8336744858893461
1.36,0.8340167791549088
1.37,0.8304983460293351
1.3800000000000001,0.8344357564204896
1.3900000000000001,0.8309312653723573
1.4000000000000001,0.8307835287760474
1.41,0.8309712082359316
1.42,0.832527771237328
1.43,0.8310167956465512
1.44,0.8309522232151757
1.45,0.8319796980906943
1.46,0.830823180460156
1.47,0.8302968040090957
1.48,0.830131903946777
1.49,0.8307032075095855
1.5,0.8315113580312848
1.51,0.8331356038955626
1.52,0.8315873776724141
1.53,0.8332087578108414
1.54,0.8329623457771065
1.55,0.834215458624897
1.56,0.8326218204794115
1.57,0.8319933571681837
1.58,0.8296837453140826
1.59,0.8327981989816803
1.6,0.8341100381210366
1.61,0.8347260729971919
1.62,0.8318286968429545
1.6300000000000001,0.8333945067113029
1.6400000000000001,0.833657572251641
1.6500000000000001,0.8346231609259949
1.6600000000000001,0.8369351839429213
1.67,0.8370666746474863
1.68,0.838465893593939
1.69,0.8349273280481581
1.7,0.8351924133706532
1.71,0.8380256342718109
1.72,0.8374596315668629
1.73,0.8389881714788373
1.74,0.8394840419787842
1.75,0.8411437156708229
1.76,0.8420227012580731
1.77,0.8400487600890227
1.78,0.8418501278365255
1.79,0.8425295552157462
1.8,0.8442988400979852
1.81,0.8430671335415968
1.82,0.840511443547816
