z_m,d_mm
0.0,0.6641657104296941
0.01,0.6662402395720419
0.02,0.6659449678454515
0.03,0.6640115086444572
0.04,0.6641840556479994
0.05,0.6640238015834925
0.06,0.6656388787883591
0.07,0.6646332191135117
0.08,0.6641813295552561
0.09,0.6643763024107078
0.1,0.664990509376348
0.11,0.6636820967757925
0.12,0.6647977027966673
0.13,0.6639758708998889
0.14,0.6645405071684053
0.15,0.6613811464765219
0.16,0.6611078088324598
0.17,0.6642002296000538
0.18,0.6612571622251937
0.19,0.6615367622110917
0.2,0.661369747916569
0.21,0.6613356239213626
0.22,0.6585365630774999
0.23,0.6610796501690539
0.24,0.6570592589604807
0.25,0.6574215329892962
0.26,0.6607866376922252
0.27,0.6585562216112175
0.28,0.6575746956852726
0.29,0.6566887994765719
0.3,0.6571628519466072
0.31,0.6556140634410608
0.32,0.6553686540361349
0.33,0.6561091071784108
0.34,0.655766191516935
0.35000000000000003,0.6543777552262213
0.36,0.657319256555814
0.37,0.6548739208159393
0.38,0.6571467135981677
0.39,0.6510187318757875
0.4,0.6527121378139268
0.41000000000000003,0.6502608127571872
0.42,0.6535113460463846
0.43,0.6531699121661935
0.44,0.6551686911123843
0.45,0.6513429928672052
0.46,0.6517679076282625
0.47000000000000003,0.6538359155879573
0.48,0.6536421226089704
0.49,0.649876209655367
0.5,0.6525700711850662
0.51,0.6507828166305304
0.52,0.6520107784323873
0.53,0.6523137844328005
0.54,0.6497900018745871
0.55,0.6505523539221163
0.56,0.6542277634948089
0.5700000000000001,0.6513350847445193
0.58,0.6516775980024773
0.59,0.6498113880797621
0.6,0.6528875194164521
0.61,0.652489069748481
0.62,0.6540160366111333
0.63,0.6490538779967041
0.64,0.6519048261256569
0.65,0.6521757040098655
0.66,0.6529343499495204
0.67,0.653046757640603
0.68,0.6564781872200515
0.6900000000000001,0.6558329029781008
0.7000000000000001,0.6545834220921326
0.71,0.6570163470666036
0.72,0.6581042721480058
0.73,0.6578512127204922
0.74,0.657528816537782
0.75,0.6575984329037284
0.76,0.6590548132720214
0.77,0.6595325413107186
0.78,0.6561219084966822
0.79,0.6567763271040745
0.8,0.6588943669709872
0.81,0.6605022700015505
0.8200000000000001,0.6627392306902159
0.8300000000000001,0.6610415011006484
0.84,0.661634033566536
0.85,0.6629547494648015
0.86,0.664303257176426
0.87,0.6658726850001886
0.88,0.6619217845272479
0.89,0.6631221094192951
0.9,0.666214349827049
0.91,0.6665053228515431
0.92,0.6646932754402348
0.93,0.6641886159250722
0.9400000000000001,0.6656472153508028
0.9500000000000001,0.6662058498726854
0.96,0.6652620307080517
0.97,0.6666258113579323
0.98,0.666718648849703
0.99,0.6665454971328986
1.0,0.6657454315104337
1.01,0.6673703009952809
1.02,0.6647766418775382
1.03,0.6687887095481179
1.04,0.6689400894500004
1.05,0.6669746742420204
1.06,0.6653574758512262
1.07,0.6660196996552804
1.08,0.6645516581814123
1.09,0.6651303472262701
1.1,0.6676643935304657
1.11,0.6679968532882968
1.12,0.6639658977879561
1.1300000000000001,0.6669302430337679
1.1400000000000001,0.6670793778614628
1.1500000000000001,0.6641739795810826
1.16,0.663221740697365
1.17,0.666025441312652
1.18,0.6625565905120923
1.19,0.6640462172298797
1.2,0.6622873686517609
1.21,0.6619666553581229
1.22,0.6606630241733168
1.23,0.6614062065121654
1.24,0.6607076970666338
1.25,0.6604401544232839
1.26,0.6577864763438596
1.27,0.661352028108384
1.28,0.6598511498315498
1.29,0.6563240767305357
1.3,0.6582838260027382
1.31,0.6549829813574274
1.32,0.6578119441463838
1.33,0.6566205011163285
1.34,0.6553451568814231
1.35,0.6572994990864974
1.36,0.6554235911103127
1.37,0.6530207919577609
1.3800000000000001,0.6525810597142105
1.3900000000000001,0.6520466705422473
1.4000000000000001,0.6522076151755529
1.41,0.654730093052261
1.42,0.6539484789714636
1.43,0.6539353806548401
1.44,0.6508842129044673
1.45,0.6526173828986402
1.46,0.6519844865282721
1.47,0.654620450278051
1.48,0.653316465953447
1.49,0.6516190310295501
1.5,0.6527587018469787
1.51,0.6500488479783828
1.52,0.6516864475570506
1.53,0.6530047685889891
1.54,0.6522413736793201
1.55,0.6533965359780942
1.56,0.652643866705899
1.57,0.6542867597763778
1.58,0.6519975669018934
1.59,0.6503754626700881
1.6,0.652058658752038
1.61,0.6506999395576378
1.62,0.6501495330371282
1.6300000000000001,0.6527394132855039
1.6400000000000001,0.6545337113375531
1.6500000000000001,0.6496530801628777
1.6600000000000001,0.6530217272723036
1.67,0.6533822116213212
1.68,0.6530264178524501
1.69,0.6568612931296873
1.7,0.6556630184155379
1.71,0.6532655245813479
1.72,0.6553097865499513
1.73,0.654194660795654
1.74,0.6549816953836193
1.75,0.6570067842083905
1.76,0.6555787107246119
1.77,0.656443082052001
1.78,0.6589101809392678
1.79,0.6580845557091906
1.8,0.6599042845571389
1.81,0.6587575945552144
1.82,0.6594341119139634
1.83,0.6603070016926772
1.84,0.6629336910268647
1.85,0.6624375345999134
1.86,0.6602977475774942
1.87,0.6628856822863362
1.8800000000000001,0.6646985097521055
1.8900000000000001,0.6622101541518742
1.9000000000000001,0.6619382064922544
1.9100000000000001,0.6633668411976426
1.92,0.6665722805472634
1.93,0.6633238529798292
1.94,0.6622405099754098
1.95,0.6647709716352135
1.96,0.6613025951283189
1.97,0.6653469458965416
1.98,0.6640947451546527
1.99,0.6667909469743986
2.0,0.665769940469157
2.0100000000000002,0.6633097485349296
2.02,0.6647600423618295
2.0300000000000002,0.6663078856437565
2.04,0.6659237620654979
2.05,0.6652690646449532
2.06,0.664349509941814
2.07,0.6648426232728708
2.08,0.6637170175104038
2.09,0.6645994337298613
2.1,0.6663872397036552
2.11,0.6643660491932925
2.12,0.6628334020208382
2.13,0.6637670725786555
2.14,0.6660930855891832
2.15,0.6607690115544503
2.16,0.6618833366324107
2.17,0.6610885879369466
2.18,0.6615300172765487
2.19,0.6633353376953557
2.2,0.6627705551571301
2.21,0.6628215917549739
